sample,rep,dose,fc,λ̂,λ,cell_count_day_3
Week 1,2,1.0,0.7658,-0.08894474664631428,0.15976862330894054,1.6149530255854756
Week 1,3,1.0,0.719,-0.10996464042036347,0.13874872953489137,1.5162591086392752
Week 1,4,1.0,0.6469,-0.14518785197739908,0.10352551797785575,1.3642114288995093
Week 2 C,1,1.0,0.7251,-0.10714856753486336,0.1415648024203915,1.5291230593523484
Week 2 C,2,1.0,0.7139,-0.11233746082457408,0.13637590913068076,1.5055040023053943
Week 2 C,3,1.0,0.595,-0.17306462447883578,0.07564874547641906,1.254762405619428
Week 2 C,4,1.0,0.681,-0.12806432427754152,0.12064904567771331,1.4361230222299675
Week 3 C,1,1.0,0.7143,-0.11215074560707007,0.13656262434818478,1.5063475400570714
Week 3 C,2,1.0,0.7457,-0.09781063481079595,0.1509027351444589,1.5725652535637102
Week 3 C,3,1.0,0.7766,-0.0842766205615234,0.16443674939373143,1.6377285448807524
Week 3 C,4,1.0,0.7182,-0.11033573239671822,0.1383776375585366,1.5145720331359211
Week 4 C,1,1.0,0.8231,-0.0648925263345129,0.18382084362074194,1.7357898085131955
Week 4 C,2,1.0,0.7405,-0.10014321509142783,0.14857015486382702,1.5615992627919102
Week 4 C,3,1.0,0.7872,-0.07975764441469779,0.16895572554055704,1.6600822953001912
Week 4 C,4,1.0,0.8446,-0.05629737882743128,0.19241599112782357,1.7811299626658301
Week 2 I,1,1.0,0.9104,-0.03129040520335686,0.21742296475189798,1.9198919228166846
Week 2 I,2,1.0,0.9231,-0.02667256932867706,0.22204080062657777,1.9466742464324271
Week 2 I,3,1.0,0.8935,-0.03753631479421812,0.21117705516103671,1.8842524528083342
Week 2 I,4,1.0,0.7682,-0.08790172102344422,0.1608116489318106,1.620014252095537
Week 3 I,1,1.0,0.6976,-0.12003646879578905,0.12867690115946578,1.4711298389245597
Week 3 I,2,1.0,0.7271,-0.10623041977537533,0.1424829501798795,1.5333407481107328
Week 3 I,3,1.0,0.6494,-0.1439021397711305,0.10481123018412433,1.36948353984749
Week 3 I,4,1.0,0.6196,-0.15956039014647447,0.08915297980878037,1.3066399773475592
Week 4 I,1,1.0,0.968,-0.010841063901853354,0.23787230605340148,2.0413613590581616
Week 4 I,2,1.0,0.9889,-0.003720688235397306,0.24499268171985752,2.085436206583281
Week 4 I,3,1.0,1.0573,0.0185728295854479,0.26728619954070276,2.229681162120036
Week 4 I,4,1.0,0.9858,-0.004767261570286548,0.2439461083849683,2.078898789007785
Vector Control,1,3.0,0.5445,-0.20262911220304067,0.04608425775221417,1.1482657644702159
Vector Control,2,3.0,0.5753,-0.18428787837096308,0.06442549158429176,1.2132181713493395
Vector Control,3,3.0,0.5907,-0.17548233488964915,0.07323103506560569,1.245694374788901
Vector Control,4,3.0,0.543,-0.20354865301606717,0.045164716939187666,1.1451024979014277
V600E,1,3.0,0.8367,-0.0594298985601947,0.18928347139506013,1.7644700920702105
V600E,2,3.0,0.8027,-0.07325807794820198,0.17545529200705284,1.6927693831776718
V600E,3,3.0,0.7939,-0.07693259008368976,0.1717807798715651,1.6742115526407797
V600E,4,3.0,0.887,-0.03997009889085252,0.20874327106440232,1.8705449643435843
Week 1,1,3.0,0.7969,-0.07567535952614485,0.17303801042911,1.6805380857783567
Week 1,2,3.0,0.8524,-0.053233126252558306,0.19548024370269654,1.7975789488235303
Week 1,3,3.0,0.8126,-0.06917209847617023,0.1795412714790846,1.713646942531676
Week 1,4,3.0,0.833,-0.0609072122717648,0.18780615768349004,1.7566673678671991
Week 2 C,1,3.0,0.7009,-0.118463351825286,0.13025001812996884,1.4780890253758943
Week 2 C,2,3.0,0.7086,-0.11482136218358847,0.13389200777166638,1.4943271270956753
Week 2 C,3,3.0,0.8264,-0.06355878705890274,0.18515458289635212,1.74274899496453
Week 2 C,4,3.0,0.7265,-0.10650559865726646,0.1422077712979884,1.5320754414832178
Week 3 C,1,3.0,0.8104,-0.07007577534922114,0.17863759460603368,1.7090074848974528
Week 3 C,2,3.0,0.9656,-0.011668536399605097,0.23704483355564973,2.0363001325481003
Week 3 C,3,3.0,0.866,-0.04795679013990064,0.2007565798153542,1.8262592323805455
Week 3 C,4,3.0,0.9171,-0.02884625380574617,0.21986711614950866,1.9340211801572729
Week 4 C,1,3.0,0.8298,-0.062190190361123186,0.18652317959413164,1.7499190658537838
Week 4 C,2,3.0,0.8493,-0.054447599398724456,0.19426577055653038,1.7910415312480341
Week 4 C,3,3.0,0.781,-0.08239337638081702,0.16631999357443783,1.6470074601491989
Week 4 C,4,3.0,0.7543,-0.0939883707075173,0.15472499924773753,1.5907013152247638
Week 2 I,1,3.0,0.7698,-0.08720817937749709,0.16150519057775775,1.623388403102245
Week 2 I,2,3.0,1.0481,0.01565966706466488,0.2643730370199197,2.210279793831466
Week 2 I,3,3.0,0.987,-0.004361746516218494,0.24435162343903635,2.081429402262816
Week 2 I,4,3.0,0.9468,-0.018222467114102737,0.2304909028411521,1.9966538582192845
Week 3 I,1,3.0,0.786,-0.08026616218431015,0.16844720777094468,1.6575516820451603
Week 3 I,2,3.0,0.9148,-0.029683272277837014,0.21903009767741782,1.9291708380851307
Week 3 I,3,3.0,0.8708,-0.04611431654058155,0.2025990534146733,1.8363816854006687
Week 3 I,4,3.0,0.7891,-0.07895407448504924,0.1697592954702056,1.6640890996206565
Week 4 I,1,3.0,0.871,-0.046037767376544754,0.2026756025787101,1.8368034542765073
Week 4 I,2,3.0,0.6805,-0.1283091522968721,0.12040421765838275,1.4350686000403712
Week 4 I,3,3.0,0.9212,-0.0273593703452023,0.22135399961005253,1.9426674421119614
Week 4 I,4,3.0,0.835,-0.060107851377093874,0.18860551857816096,1.7608850566255838
Vector Control,1,10.0,0.3375,-0.3620632562231842,-0.11334988626792936,0.7117349779774066
Vector Control,2,10.0,0.3213,-0.3784600042867748,-0.12974663433151995,0.6775716990344911
Vector Control,3,10.0,0.3205,-0.37929100087380413,-0.1305776309185493,0.6758846235311372
Vector Control,4,10.0,0.3057,-0.3950503500284494,-0.14633698007319457,0.6446737267190911
V600E,1,10.0,0.9939,-0.0020395603360590588,0.24667380961919577,2.0959804284792427
V600E,2,10.0,1.0077,0.0025568354347399133,0.2512702053899947,2.1250824809120967
V600E,3,10.0,0.9889,-0.003720688235397306,0.24499268171985752,2.085436206583281
V600E,4,10.0,0.9576,-0.01444170824612455,0.23427166170913027,2.0194293775145615
Week 1,1,10.0,0.8563,-0.051711498983330245,0.1970018709719246,1.80580344190238
Week 1,2,10.0,0.8445,-0.05633684757809409,0.19237652237716074,1.780919078227911
Week 1,3,10.0,0.7067,-0.11571634376177614,0.1329970261934787,1.4903203227752098
Week 1,4,10.0,0.6798,-0.12865221390670717,0.12006115604854767,1.4335924089749363
Week 2 C,1,10.0,0.8059,-0.07193187121722383,0.176781498738031,1.6995176851910874
Week 2 C,2,10.0,0.8216,-0.0655005401225962,0.18321282983265863,1.7326265419444067
Week 2 C,3,10.0,0.6773,-0.1298803242537597,0.11883304570149514,1.4283202980269556
Week 2 C,4,10.0,0.7785,-0.0834620959026947,0.16525127405256013,1.6417353492012179
Week 3 C,1,10.0,0.8988,-0.03556491289032097,0.21314845706493388,1.8954293280180536
Week 3 C,2,10.0,0.7887,-0.07912308619273063,0.16959028376252422,1.6632455618689794
Week 3 C,3,10.0,0.869,-0.046804051238915005,0.20190931871633983,1.8325857655181224
Week 3 C,4,10.0,0.6906,-0.12339816467541503,0.1253152052798398,1.4563679282702133
Week 4 C,1,10.0,0.7554,-0.09350262290126021,0.15521074705399462,1.5930210440418753
Week 4 C,2,10.0,0.6983,-0.11970215637671579,0.12901121357853906,1.4726060299899943
Week 4 C,3,10.0,0.8874,-0.039819813345775994,0.20889355660947884,1.8713885020952612
Week 4 C,4,10.0,0.868,-0.04718785477392896,0.2015255151813259,1.8304769211389302
Week 2 I,1,10.0,0.8994,-0.035342468215176684,0.21337090174007817,1.8966946346455689
Week 2 I,2,10.0,0.9174,-0.028737232273021815,0.219976137682233,1.9346538334710306
Week 2 I,3,10.0,1.0433,0.014129588830595508,0.26284295878585034,2.200157340811343
Week 2 I,4,10.0,0.7331,-0.10349105358419873,0.1452223163710561,1.5459938143858867
Week 3 I,1,10.0,0.796,-0.076052031045918,0.17266133890933683,1.6786401258370836
Week 3 I,2,10.0,0.8281,-0.0628737863141609,0.18583958364109393,1.7463340304091566
Week 3 I,3,10.0,0.889,-0.03921934782274415,0.20949402213251067,1.8747626531019688
Week 3 I,4,10.0,0.6842,-0.12650166881287758,0.12221170114237725,1.4428713242433826
Week 4 I,1,10.0,0.9252,-0.025915116208284305,0.22279825374697054,1.9511028196287308
Week 4 I,2,10.0,0.8899,-0.03888206070644016,0.20983130924881468,1.8766606130432422
Week 4 I,3,10.0,1.0583,0.018887949039180587,0.2676013189944354,2.231790006499228
Week 4 I,4,10.0,0.9462,-0.018433771928363103,0.23027959802689174,1.9953885515917695
Vector Control,1,30.0,0.215,-0.5123724169514915,-0.26365904699623666,0.4534015415263478
Vector Control,2,30.0,0.2592,-0.4500517715013392,-0.20133840154608434,0.5466124630866482
