sample,rep,day,treatment,dose,log_dose,fc,growth_rate_unnormalised,growth_rate
Week 2 C,1,14,continuous,1,0,0.7251,-0.107148567534863,0.0982296383379027
Week 2 C,2,14,continuous,1,0,0.7139,-0.112337460824574,0.0930407450481919
Week 2 C,3,14,continuous,1,0,0.595,-0.173064624478836,0.0323135813939302
Week 2 C,4,14,continuous,1,0,0.681,-0.128064324277542,0.0773138815952245
Week 3 C,1,21,continuous,1,0,0.7143,-0.11215074560707,0.0932274602656959
Week 3 C,2,21,continuous,1,0,0.7457,-0.097810634810796,0.10756757106197
Week 3 C,3,21,continuous,1,0,0.7766,-0.0842766205615234,0.121101585311243
Week 3 C,4,21,continuous,1,0,0.7182,-0.110335732396718,0.0950424734760478
Week 4 C,1,28,continuous,1,0,0.8231,-0.0648925263345129,0.140485679538253
Week 4 C,2,28,continuous,1,0,0.7405,-0.100143215091428,0.105234990781338
Week 4 C,3,28,continuous,1,0,0.7872,-0.0797576444146978,0.125620561458068
Week 4 C,4,28,continuous,1,0,0.8446,-0.0562973788274313,0.149080827045335
Week 2 I,1,14,intermittent,1,0,0.9104,-0.0312904052033569,0.174087800669409
Week 2 I,2,14,intermittent,1,0,0.9231,-0.0266725693286771,0.178705636544089
Week 2 I,3,14,intermittent,1,0,0.8935,-0.0375363147942181,0.167841891078548
Week 2 I,4,14,intermittent,1,0,0.7682,-0.0879017210234442,0.117476484849322
Week 3 I,1,21,intermittent,1,0,0.6976,-0.120036468795789,0.085341737076977
Week 3 I,2,21,intermittent,1,0,0.7271,-0.106230419775375,0.0991477860973907
Week 3 I,3,21,intermittent,1,0,0.6494,-0.143902139771131,0.0614760661016355
Week 3 I,4,21,intermittent,1,0,0.6196,-0.159560390146474,0.0458178157262916
Week 4 I,1,28,intermittent,1,0,0.968,-0.0108410639018534,0.194537141970913
Week 4 I,2,28,intermittent,1,0,0.9889,-0.00372068823539731,0.201657517637369
Week 4 I,3,28,intermittent,1,0,1.0573,0.0185728295854479,0.223951035458214
Week 4 I,4,28,intermittent,1,0,0.9858,-0.00476726157028655,0.200610944302479
V600E,1,0,nil,3,1.09861228866811,0.8367,-0.0594298985601947,0.145948307312571
V600E,2,0,nil,3,1.09861228866811,0.8027,-0.073258077948202,0.132120127924564
V600E,3,0,nil,3,1.09861228866811,0.7939,-0.0769325900836898,0.128445615789076
V600E,4,0,nil,3,1.09861228866811,0.887,-0.0399700988908525,0.165408106981913
Week 1,1,7,continuous,3,1.09861228866811,0.7969,-0.0756753595261448,0.129702846346621
Week 1,2,7,continuous,3,1.09861228866811,0.8524,-0.0532331262525583,0.152145079620208
Week 1,3,7,continuous,3,1.09861228866811,0.8126,-0.0691720984761702,0.136206107396596
Week 1,4,7,continuous,3,1.09861228866811,0.833,-0.0609072122717648,0.144470993601001
Week 2 C,1,14,continuous,3,1.09861228866811,0.7009,-0.118463351825286,0.08691485404748
Week 2 C,2,14,continuous,3,1.09861228866811,0.7086,-0.114821362183588,0.0905568436891775
Week 2 C,3,14,continuous,3,1.09861228866811,0.8264,-0.0635587870589027,0.141819418813863
Week 2 C,4,14,continuous,3,1.09861228866811,0.7265,-0.106505598657266,0.0988726072154996
Week 3 C,1,21,continuous,3,1.09861228866811,0.8104,-0.0700757753492211,0.135302430523545
Week 3 C,2,21,continuous,3,1.09861228866811,0.9656,-0.0116685363996051,0.193709669473161
